Timestamp,PreprocessMs,InferenceMs,PostprocessMs,TotalMs
2026-06-07 18:05:50.190,4.794,13.404,0.876,19.075
2026-06-07 18:05:50.293,6.197,15.467,1.712,23.377
2026-06-07 18:05:50.322,4.443,13.091,1.330,18.864
2026-06-07 18:05:50.386,4.875,13.810,0.903,19.588
2026-06-07 18:05:50.489,5.909,14.571,1.537,22.017
2026-06-07 18:05:50.518,4.425,13.531,1.410,19.366
2026-06-07 18:05:50.598,4.470,15.021,10.435,29.927
2026-06-07 18:05:50.688,4.605,12.503,1.393,18.501
2026-06-07 18:05:50.798,4.760,14.691,1.299,20.751
2026-06-07 18:05:50.836,5.131,15.201,0.846,21.178
2026-06-07 18:05:50.949,4.758,14.701,8.630,28.089
2026-06-07 18:05:50.974,6.233,13.498,1.449,21.180
2026-06-07 18:05:51.041,5.112,14.344,0.822,20.278
2026-06-07 18:05:51.153,4.594,14.665,11.424,30.683
2026-06-07 18:05:51.243,5.358,14.184,1.656,21.199
2026-06-07 18:05:51.273,4.660,12.780,0.852,18.292
2026-06-07 18:05:51.344,4.869,14.833,1.402,21.104
2026-06-07 18:05:51.445,6.422,14.382,1.587,22.392
2026-06-07 18:05:51.469,4.482,14.676,0.815,19.973
2026-06-07 18:05:51.545,4.649,14.737,1.357,20.743
2026-06-07 18:05:51.646,4.726,14.594,1.535,20.855
2026-06-07 18:05:51.674,4.589,12.708,0.889,18.187
2026-06-07 18:05:51.747,4.814,14.523,1.250,20.587
2026-06-07 18:05:51.846,4.686,14.582,0.912,20.181
2026-06-07 18:05:51.876,4.221,12.928,1.350,18.500
2026-06-07 18:05:51.947,4.432,14.509,1.291,20.233
2026-06-07 18:05:52.055,4.899,15.836,1.004,21.739
2026-06-07 18:05:52.085,4.274,12.982,1.366,18.623
2026-06-07 18:05:52.148,4.655,14.929,1.263,20.847
2026-06-07 18:05:52.249,4.902,14.844,0.899,20.646
2026-06-07 18:05:52.279,4.455,13.093,1.446,18.995
2026-06-07 18:05:52.350,5.344,15.092,1.306,21.743
2026-06-07 18:05:52.450,4.772,14.613,0.899,20.285
2026-06-07 18:05:52.479,4.200,13.125,1.384,18.710
2026-06-07 18:05:52.551,4.752,14.655,1.279,20.686
2026-06-07 18:05:52.654,4.761,14.914,0.960,20.635
2026-06-07 18:05:52.683,4.307,12.825,1.376,18.509
2026-06-07 18:05:52.755,4.562,15.002,1.319,20.883
